Num Features,Feature Local Class,Distance,Threshold,Matches,Scores
30,GFTTAffNetHardNet,1.5,0.005,"(20, 75)","(25, 75)"
30,GFTTAffNetHardNet,1.5,0.5,"(20, 75)","(20, 75)"
30,GFTTAffNetHardNet,1.75,0.005,"(20, 75)","(25, 75)"
30,GFTTAffNetHardNet,1.75,0.5,"(20, 75)","(20, 75)"
30,KeyNetHardNet,1.5,0.005,"(16, 75)","(17, 75)"
30,KeyNetHardNet,1.5,0.5,"(16, 75)","(16, 75)"
30,KeyNetHardNet,1.75,0.005,"(16, 75)","(17, 75)"
30,KeyNetHardNet,1.75,0.5,"(16, 75)","(16, 75)"
30,SIFTFeature,1.5,0.005,"(74, 75)","(73, 75)"
30,SIFTFeature,1.5,0.5,"(74, 75)","(74, 75)"
30,SIFTFeature,1.75,0.005,"(74, 75)","(73, 75)"
30,SIFTFeature,1.75,0.5,"(74, 75)","(74, 75)"
30,SIFTFeatureScaleSpace,1.5,0.005,"(64, 75)","(71, 75)"
30,SIFTFeatureScaleSpace,1.5,0.5,"(64, 75)","(64, 75)"
30,SIFTFeatureScaleSpace,1.75,0.005,"(64, 75)","(71, 75)"
30,SIFTFeatureScaleSpace,1.75,0.5,"(64, 75)","(64, 75)"
60,GFTTAffNetHardNet,1.5,0.005,"(35, 75)","(44, 75)"
60,GFTTAffNetHardNet,1.5,0.5,"(35, 75)","(36, 75)"
60,GFTTAffNetHardNet,1.75,0.005,"(35, 75)","(44, 75)"
60,GFTTAffNetHardNet,1.75,0.5,"(35, 75)","(36, 75)"
60,KeyNetHardNet,1.5,0.005,"(42, 75)","(57, 75)"
60,KeyNetHardNet,1.5,0.5,"(42, 75)","(41, 75)"
60,KeyNetHardNet,1.75,0.005,"(42, 75)","(57, 75)"
60,KeyNetHardNet,1.75,0.5,"(42, 75)","(41, 75)"
60,SIFTFeature,1.5,0.005,"(75, 75)","(75, 75)"
60,SIFTFeature,1.5,0.5,"(75, 75)","(75, 75)"
60,SIFTFeature,1.75,0.005,"(75, 75)","(75, 75)"
60,SIFTFeature,1.75,0.5,"(75, 75)","(75, 75)"
60,SIFTFeatureScaleSpace,1.5,0.005,"(74, 75)","(74, 75)"
60,SIFTFeatureScaleSpace,1.5,0.5,"(74, 75)","(74, 75)"
60,SIFTFeatureScaleSpace,1.75,0.005,"(74, 75)","(74, 75)"
60,SIFTFeatureScaleSpace,1.75,0.5,"(74, 75)","(74, 75)"
